instance,n_vertices,n_links,n_demands,status,objective,cpu_time,gap
setA-01,20,80,40,OPTIMAL,0.9294,0.0,0.0
setA-02,30,150,45,OPTIMAL,0.5486,0.1,0.0
setA-03,50,250,20,OPTIMAL,0.9435,0.2,0.0
setA-04,50,250,200,OPTIMAL,0.4591,3.7,0.0
setA-05,100,396,100,OPTIMAL,0.1155,2.2,0.0
setA-06,100,500,500,TIME_LIMIT,0.1408,30.1,30.0
setA-07,100,500,800,OPTIMAL,0.908,6.6,0.0
setA-08,150,654,200,OPTIMAL,0.3189,3.1,0.0
setA-09,150,750,200,OPTIMAL,0.5054,3.1,0.0
setA-10,150,966,1000,TIME_LIMIT,,30.9,
setA-11,200,1000,400,TIME_LIMIT,0.6283,30.6,2.42
setA-12,200,898,400,OPTIMAL,0.6401,14.6,0.0
setA-13,200,1000,2000,TIME_LIMIT,,31.6,
setA-14,250,1108,600,TIME_LIMIT,0.5306,30.2,20.11
setA-15,250,1250,600,OPTIMAL,0.8252,21.2,0.0
setA-16,250,1452,4800,TIME_LIMIT,,82.5,
setA-17,300,1270,2000,TIME_LIMIT,,44.2,
setA-18,300,1500,2000,TIME_LIMIT,,39.2,
setA-19,300,1998,6000,TIME_LIMIT,,142.5,
setA-20,400,2000,6000,TIME_LIMIT,,170.3,
